accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0.6096774339675903,0.6469919085502625,0.6115166544914246,0.9934123754501343,0.6848874688148499,0.585843563079834,0.6848874688148499,1.0
0.6427419185638428,0.5832351446151733,0.6373913288116455,0.9657443761825562,0.8070739507675171,0.5106629729270935,0.8097165822982788,0.9389671087265015
0.7604838609695435,0.5175763368606567,0.7661290168762207,0.8761528134346008,0.7106109261512756,0.5176001787185669,0.8090452551841736,0.7558685541152954
0.7483870983123779,0.5042712092399597,0.7589802742004395,0.8629776239395142,0.81993567943573,0.4160405397415161,0.8204081654548645,0.9436619877815247
0.7774193286895752,0.4551612138748169,0.7779056429862976,0.8906455636024475,0.8327974081039429,0.39849454164505005,0.8312757015228271,0.9483568072319031
0.7774193286895752,0.43303897976875305,0.7970479726791382,0.8537549376487732,0.81993567943573,0.3957652449607849,0.8369098901748657,0.9154929518699646
0.7967742085456848,0.3999805152416229,0.8050541281700134,0.8814229369163513,0.8231511116027832,0.3745288848876953,0.8526785969734192,0.8967136144638062
0.8153225779533386,0.3875228762626648,0.8304239511489868,0.8774703741073608,0.8295819759368896,0.3684975504875183,0.8703703880310059,0.8826290965080261
0.8072580695152283,0.3803706765174866,0.816301703453064,0.8840579986572266,0.8553054928779602,0.36843666434288025,0.8783783912658691,0.9154929518699646
0.8306451439857483,0.37193262577056885,0.8418430685997009,0.8906455636024475,0.8392282724380493,0.38306352496147156,0.8862559199333191,0.8779342770576477
0.8258064389228821,0.36084312200546265,0.8290908932685852,0.9011857509613037,0.8424437046051025,0.37104275822639465,0.8867924809455872,0.8826290965080261
0.8201612830162048,0.368501216173172,0.8284313678741455,0.8906455636024475,0.8424437046051025,0.3636389672756195,0.869369387626648,0.9061033129692078
0.8298386931419373,0.34670841693878174,0.8357843160629272,0.8985507488250732,0.8553054928779602,0.36322706937789917,0.8853210806846619,0.9061033129692078
0.8330644965171814,0.33439645171165466,0.8349514603614807,0.9064558744430542,0.8585209250450134,0.3536813259124756,0.900473952293396,0.8920187950134277
0.8290322422981262,0.3457585275173187,0.8405977487564087,0.8893280625343323,0.852090060710907,0.35841435194015503,0.9033816456794739,0.8779342770576477
0.8322580456733704,0.3261304199695587,0.8413878679275513,0.894598126411438,0.8295819759368896,0.36787542700767517,0.9210526347160339,0.8215962648391724
0.8120967745780945,0.36338144540786743,0.8191747665405273,0.8893280625343323,0.8231511116027832,0.3664429485797882,0.8910890817642212,0.8450704216957092
0.8419354557991028,0.3420473635196686,0.8604353666305542,0.8853754997253418,0.8295819759368896,0.37039902806282043,0.9210526347160339,0.8215962648391724
0.8370967507362366,0.33746811747550964,0.8547770977020264,0.8840579986572266,0.8681672215461731,0.34350159764289856,0.8909090757369995,0.920187771320343
0.8564516305923462,0.31194549798965454,0.8738738894462585,0.894598126411438,0.8263665437698364,0.3851487934589386,0.9076923131942749,0.8309859037399292
0.8443548679351807,0.3127557039260864,0.8564231991767883,0.895915687084198,0.8424437046051025,0.33705928921699524,0.8980582356452942,0.8685445785522461
0.8306451439857483,0.3361070454120636,0.8588235378265381,0.8656126260757446,0.8553054928779602,0.34478116035461426,0.8925233483314514,0.8967136144638062
0.8556451797485352,0.31277331709861755,0.873711347579956,0.8932806253433228,0.8617363572120667,0.318265825510025,0.8971962332725525,0.9014084339141846
0.8467742204666138,0.3065658211708069,0.871895432472229,0.8787878751754761,0.8649517893791199,0.3431488871574402,0.8868778347969055,0.920187771320343
0.8588709831237793,0.3000866770744324,0.8734015226364136,0.8998682498931885,0.852090060710907,0.3453076481819153,0.89952152967453,0.8826290965080261
0.8483871221542358,0.3202367424964905,0.8618504405021667,0.895915687084198,0.852090060710907,0.35496753454208374,0.8957346081733704,0.8873239159584045
0.8338709473609924,0.32152310013771057,0.8486759066581726,0.886693000793457,0.8649517893791199,0.35165706276893616,0.9052132964134216,0.8967136144638062
0.8548387289047241,0.30166929960250854,0.8650693297386169,0.903820812702179,0.8778135180473328,0.3530654013156891,0.9107981324195862,0.9107981324195862
0.8637096881866455,0.3011135160923004,0.8791773915290833,0.9011857509613037,0.8617363572120667,0.3271985650062561,0.9126213788986206,0.8826290965080261
0.8669354915618896,0.2834804058074951,0.8847150206565857,0.8998682498931885,0.8681672215461731,0.34205976128578186,0.8805309534072876,0.934272289276123
